algorithm,k,c,d,i,ari,obj,t
kmeans,3,-0.26,2,1,0.4194074589940794,26399.790420128542,0.002615323
kmeans_ms,3,-0.26,2,1,0.4115666624848298,26399.316199378343,0.732593966
kmeans_rs,3,-0.26,2,1,0.4115666624848298,26399.316199378343,0.535633571
kmeans_hg,3,-0.26,2,1,0.4115666624848298,26399.316199378343,0.646521728
gmm,3,-0.26,2,1,0.1568818501288836,-7.488978115609799,0.001533896
gmm_ms,3,-0.26,2,1,0.253695952236541,-7.449880185138748,0.269003431
gmm_rs,3,-0.26,2,1,0.2845354010058306,-7.4483281544427715,0.181799465
gmm_hg,3,-0.26,2,1,0.2701435701729945,-7.448398950101842,0.258018846
gmm_shrunk,3,-0.26,2,1,0.33680279803303415,-7.4724164420460495,0.001494177
gmm_ms_shrunk,3,-0.26,2,1,0.29276016449644227,-7.452203784156139,0.219301243
gmm_rs_shrunk,3,-0.26,2,1,0.29200081116166027,-7.450898323383143,0.176063186
gmm_hg_shrunk,3,-0.26,2,1,0.28594297312389905,-7.4511381366527925,0.249602683
gmm_oas,3,-0.26,2,1,0.31154021608104016,-7.473069155453251,0.001645758
gmm_ms_oas,3,-0.26,2,1,0.3017060706505477,-7.450488608712012,0.233286704
gmm_rs_oas,3,-0.26,2,1,0.27382469575418417,-7.449090812927978,0.178382922
gmm_hg_oas,3,-0.26,2,1,0.2615372830362119,-7.449432047216207,0.265674278
gmm_ledoitwolf,3,-0.26,2,1,0.3447966592774701,-7.472162081476212,0.001838606
gmm_ms_ledoitwolf,3,-0.26,2,1,0.2679462041022219,-7.449958443068617,0.271412596
gmm_rs_ledoitwolf,3,-0.26,2,1,0.2814010698133928,-7.448815661504864,0.195012219
gmm_hg_ledoitwolf,3,-0.26,2,1,0.2921477636383994,-7.4487257301732805,0.277829264
kmeans,3,-0.26,2,2,0.44854092649328636,51026.11695227083,0.001916795
kmeans_ms,3,-0.26,2,2,0.46116753695863505,51019.669876300504,0.594557614
kmeans_rs,3,-0.26,2,2,0.46116753695863505,51019.669876300504,0.447862533
kmeans_hg,3,-0.26,2,2,0.46116753695863505,51019.669876300504,0.57843864
gmm,3,-0.26,2,2,0.4377302668812938,-8.148900588902553,0.003648048
gmm_ms,3,-0.26,2,2,0.22267150478374753,-8.132922594464894,0.245507844
gmm_rs,3,-0.26,2,2,0.42621409268449445,-8.147590029355765,0.168178106
gmm_hg,3,-0.26,2,2,0.3578467888538471,-8.146720968765093,0.227509027
gmm_shrunk,3,-0.26,2,2,0.3482121259963412,-8.157939089392698,0.001240864
gmm_ms_shrunk,3,-0.26,2,2,0.2848064003226973,-8.125480242459592,0.202111567
gmm_rs_shrunk,3,-0.26,2,2,0.4510812614553445,-8.150439650476525,0.138444093
gmm_hg_shrunk,3,-0.26,2,2,0.30287088085811154,-8.149586096969003,0.240585833
gmm_oas,3,-0.26,2,2,0.4481864252019206,-8.151499475998863,0.001828243
gmm_ms_oas,3,-0.26,2,2,0.36215461880177424,-8.149251116525674,0.199289228
gmm_rs_oas,3,-0.26,2,2,0.4560926999656629,-8.149542400573246,0.179139205
gmm_hg_oas,3,-0.26,2,2,0.48344538497847706,-8.149269026440084,0.228850522
gmm_ledoitwolf,3,-0.26,2,2,0.30265881637423475,-8.155789261035677,0.001521647
gmm_ms_ledoitwolf,3,-0.26,2,2,0.30518920144544065,-8.148110921006033,0.242891444
gmm_rs_ledoitwolf,3,-0.26,2,2,0.2857497270080647,-8.147243473282856,0.206185891
gmm_hg_ledoitwolf,3,-0.26,2,2,0.3168586966993924,-8.14701618070871,0.282316262
kmeans,3,-0.26,5,1,0.44798904496096964,145189.9506311331,0.003347821
kmeans_ms,3,-0.26,5,1,0.4414193460908969,145171.05411172306,0.884279237
kmeans_rs,3,-0.26,5,1,0.4414193460908969,145171.05411172306,0.585447478
kmeans_hg,3,-0.26,5,1,0.4414193460908969,145171.05411172306,0.829513509
gmm,3,-0.26,5,1,0.33204223494440205,-19.030738780253106,0.003242617
gmm_ms,3,-0.26,5,1,0.42623963519996494,-18.798423794727597,0.64238858
gmm_rs,3,-0.26,5,1,0.4139889917675022,-18.987508506684804,0.347496333
gmm_hg,3,-0.26,5,1,0.4023739057026358,-18.94540700015666,0.511629941
gmm_shrunk,3,-0.26,5,1,0.2869979070864909,-19.12410624400799,0.002841631
gmm_ms_shrunk,3,-0.26,5,1,0.5395330352308555,-19.053174942736423,0.525472531
gmm_rs_shrunk,3,-0.26,5,1,0.5751905265140752,-19.05340949444113,0.396152218
gmm_hg_shrunk,3,-0.26,5,1,0.5358464399957262,-19.052253890033402,0.543397672
gmm_oas,3,-0.26,5,1,0.24031192987646458,-19.10255454204479,0.002650066
gmm_ms_oas,3,-0.26,5,1,0.528256982098011,-19.014552397258107,0.592345971
gmm_rs_oas,3,-0.26,5,1,0.5173301110135529,-19.0109813942592,0.390899573
gmm_hg_oas,3,-0.26,5,1,0.5170067799721872,-19.013322191714906,0.600183736
gmm_ledoitwolf,3,-0.26,5,1,0.3571690115960274,-19.051264588308396,0.005745869
gmm_ms_ledoitwolf,3,-0.26,5,1,0.5516631678286017,-19.008917301624173,0.685627426
gmm_rs_ledoitwolf,3,-0.26,5,1,0.5227806959359222,-19.00649995455139,0.450290066
gmm_hg_ledoitwolf,3,-0.26,5,1,0.5278055104893188,-19.005377452037976,0.658132823
kmeans,3,-0.26,5,2,0.455183861691169,127065.46287792301,0.003603303
kmeans_ms,3,-0.26,5,2,0.44564347559497475,127042.83103676813,0.691938949
kmeans_rs,3,-0.26,5,2,0.44564347559497475,127042.83103676813,0.461852343
kmeans_hg,3,-0.26,5,2,0.44564347559497475,127042.83103676813,0.607073174
gmm,3,-0.26,5,2,0.5930801630762235,-18.367715591221337,0.003598883
gmm_ms,3,-0.26,5,2,0.4722993224239943,-18.16119655461554,0.554326529
gmm_rs,3,-0.26,5,2,0.7837894539167569,-18.331839181911835,0.355754745
gmm_hg,3,-0.26,5,2,0.7837894539167569,-18.331818464924858,0.403880429
gmm_shrunk,3,-0.26,5,2,0.6565995535051149,-18.520431339940533,0.003722874
gmm_ms_shrunk,3,-0.26,5,2,0.6875766897563791,-18.508415708333988,0.529616688
gmm_rs_shrunk,3,-0.26,5,2,0.6720648800737438,-18.510268935615485,0.34390467
gmm_hg_shrunk,3,-0.26,5,2,0.6720648800737438,-18.51050483180342,0.505956925
gmm_oas,3,-0.26,5,2,0.7497059582794962,-18.392030870556763,0.004601111
gmm_ms_oas,3,-0.26,5,2,0.7578085818162756,-18.380224749389427,0.6118103
gmm_rs_oas,3,-0.26,5,2,0.749719989129828,-18.383390225120756,0.366780416
gmm_hg_oas,3,-0.26,5,2,0.7831624591052352,-18.38674853428321,0.449957395
gmm_ledoitwolf,3,-0.26,5,2,0.5791893597640465,-18.46726620799551,0.004505075
gmm_ms_ledoitwolf,3,-0.26,5,2,0.7329389763687232,-18.40986824583668,0.788482934
gmm_rs_ledoitwolf,3,-0.26,5,2,0.7483164561227451,-18.406492948583633,0.49398214
gmm_hg_ledoitwolf,3,-0.26,5,2,0.7483164561227451,-18.411265152544456,0.617754451
kmeans,3,-0.26,10,1,0.10771428792282736,339914.9020255589,0.003039784
kmeans_ms,3,-0.26,10,1,0.19772723220170438,336741.7101580683,1.047887895
kmeans_rs,3,-0.26,10,1,0.19816946851813377,336683.5811427895,0.943733588
kmeans_hg,3,-0.26,10,1,0.18683404932474043,336711.61737473373,1.169089565
gmm,3,-0.26,10,1,0.37316142096560584,-37.64231530013178,0.096126211
gmm_ms,3,-0.26,10,1,0.4368313485920488,-36.901364185170436,1.232639887
gmm_rs,3,-0.26,10,1,0.0016803391499990573,-36.45121241120937,1.383779463
gmm_hg,3,-0.26,10,1,0.0037011801328515554,-36.45806505485608,1.4017042
gmm_shrunk,3,-0.26,10,1,0.3292672321551944,-37.68776496453254,0.003945623
gmm_ms_shrunk,3,-0.26,10,1,0.40119574887329457,-37.65145468842119,1.012282255
gmm_rs_shrunk,3,-0.26,10,1,0.3662201543723015,-37.66002352045541,0.548563199
gmm_hg_shrunk,3,-0.26,10,1,0.402841531140312,-37.65081486001342,0.821526471
gmm_oas,3,-0.26,10,1,0.327043495889866,-37.67632529480423,0.007180183
gmm_ms_oas,3,-0.26,10,1,0.4175164225647892,-37.627392786896436,1.096715101
gmm_rs_oas,3,-0.26,10,1,0.4299981182229767,-37.59607847326507,0.490471295
gmm_hg_oas,3,-0.26,10,1,0.41531803519704424,-37.59430953818456,0.78395481
