240-human-activity-recognition-using-smartphones, kmeans, 1, 0.42, 0.61, 2, 0.56
240-human-activity-recognition-using-smartphones, kmeans, 2, 0.42, 0.61, 2, 0.73
240-human-activity-recognition-using-smartphones, kmeans, 3, 0.46, 0.59, 2, 0.56
240-human-activity-recognition-using-smartphones, kmeans, 4, 0.42, 0.61, 2, 0.55
240-human-activity-recognition-using-smartphones, kmeans, 5, 0.46, 0.59, 2, 0.36
240-human-activity-recognition-using-smartphones, kmeans, 6, 0.42, 0.61, 2, 0.17
240-human-activity-recognition-using-smartphones, kmeans, 7, 0.54, 0.65, 2, 0.32
240-human-activity-recognition-using-smartphones, kmeans, 8, 0.46, 0.59, 2, 0.25
240-human-activity-recognition-using-smartphones, kmeans, 9, 0.42, 0.61, 2, 0.45
240-human-activity-recognition-using-smartphones, kmeans, 10, 0.42, 0.61, 2, 0.18
240-human-activity-recognition-using-smartphones, kmeans_hg, 1, 0.46, 0.59, 2, 77.42
240-human-activity-recognition-using-smartphones, kmeans_hg, 2, 0.46, 0.59, 2, 85.68
240-human-activity-recognition-using-smartphones, kmeans_hg, 3, 0.46, 0.59, 2, 89.16
240-human-activity-recognition-using-smartphones, kmeans_hg, 4, 0.46, 0.59, 2, 86.42
240-human-activity-recognition-using-smartphones, kmeans_hg, 5, 0.46, 0.59, 2, 84.43
240-human-activity-recognition-using-smartphones, kmeans_hg, 6, 0.46, 0.59, 2, 73.84
240-human-activity-recognition-using-smartphones, kmeans_hg, 7, 0.46, 0.59, 2, 78.13
240-human-activity-recognition-using-smartphones, kmeans_hg, 8, 0.46, 0.59, 2, 84.96
240-human-activity-recognition-using-smartphones, kmeans_hg, 9, 0.46, 0.59, 2, 89.64
240-human-activity-recognition-using-smartphones, kmeans_hg, 10, 0.46, 0.59, 2, 89.39
240-human-activity-recognition-using-smartphones, gmm, 1, 0.34, 0.52, 2, 16.54
240-human-activity-recognition-using-smartphones, gmm, 2, 0.40, 0.61, 3, 6.87
240-human-activity-recognition-using-smartphones, gmm, 3, 0.31, 0.48, 2, 17.18
240-human-activity-recognition-using-smartphones, gmm, 4, 0.45, 0.59, 2, 10.99
240-human-activity-recognition-using-smartphones, gmm, 5, 0.32, 0.48, 1, 24.11
240-human-activity-recognition-using-smartphones, gmm, 6, 0.33, 0.49, 2, 12.06
240-human-activity-recognition-using-smartphones, gmm, 7, 0.32, 0.51, 2, 18.53
240-human-activity-recognition-using-smartphones, gmm, 8, 0.29, 0.46, 3, 21.03
240-human-activity-recognition-using-smartphones, gmm, 9, 0.31, 0.48, 2, 11.33
240-human-activity-recognition-using-smartphones, gmm, 10, 0.34, 0.48, 3, 9.45
240-human-activity-recognition-using-smartphones, gmm_ms, 1, 0.27, 0.44, 2, 3451.21
240-human-activity-recognition-using-smartphones, gmm_ms, 2, 0.27, 0.44, 2, 3693.21
240-human-activity-recognition-using-smartphones, gmm_ms, 3, 0.31, 0.46, 2, 3348.39
240-human-activity-recognition-using-smartphones, gmm_ms, 4, 0.28, 0.45, 2, 3563.33
240-human-activity-recognition-using-smartphones, gmm_ms, 5, 0.28, 0.44, 2, 3488.79
240-human-activity-recognition-using-smartphones, gmm_ms, 6, 0.28, 0.45, 2, 3475.94
240-human-activity-recognition-using-smartphones, gmm_ms, 7, 0.29, 0.45, 1, 3276.30
240-human-activity-recognition-using-smartphones, gmm_ms, 8, 0.26, 0.42, 2, 3440.60
240-human-activity-recognition-using-smartphones, gmm_ms, 9, 0.27, 0.44, 2, 3367.23
240-human-activity-recognition-using-smartphones, gmm_ms, 10, 0.28, 0.44, 2, 3299.55
240-human-activity-recognition-using-smartphones, gmm_rs, 1, 0.34, 0.51, 2, 1789.91
240-human-activity-recognition-using-smartphones, gmm_rs, 2, 0.30, 0.51, 3, 2150.69
240-human-activity-recognition-using-smartphones, gmm_rs, 3, 0.29, 0.44, 3, 1458.95
240-human-activity-recognition-using-smartphones, gmm_rs, 4, 0.30, 0.46, 3, 1245.20
240-human-activity-recognition-using-smartphones, gmm_rs, 5, 0.34, 0.49, 3, 1444.89
240-human-activity-recognition-using-smartphones, gmm_rs, 6, 0.30, 0.46, 2, 861.93
240-human-activity-recognition-using-smartphones, gmm_rs, 7, 0.34, 0.53, 2, 1078.10
240-human-activity-recognition-using-smartphones, gmm_rs, 8, 0.29, 0.46, 3, 1385.86
